"variable_id","var_code","variable_name","category_id","unit","type","weight"
"1","CM","CONTRIBUTION MARGIN","1","RP","POSITIF","0.1"
"2","FBI","FBI SELAIN BANCASSURANCE","1","RP","POSITIF","0.05"
"3","ACE","ACE BANCASSURANCE","1","RP","POSITIF","0.05"
"4","TAB","TABUNGAN","2","RP","POSITIF","0.125"
"5","GIRO","GIRO","2","RP","POSITIF","0.5"
"6","DEPOSITO","DEPOSITO","2","SKOR","POSITIF","0.25"
"7","DGT","PENAMBAHAN USER AKTIF DIGITAL","2","CIF","POSITIF","0.75"
"8","PBY","PBY ALL","2","RP","POSITIF","0"
"9","GOLD","GOLD BUSINESS","2","JUTA","POSITIF","0.1"
"10","SMG","SME","2","JUTA","POSITIF","0.5"
"11","DG","NET DG","2","%","NEGATIF","0.5"
"12","NPF","NPF","2","%","NEGATIF","0.25"
"13","KOL2","KOL 2","2","%","NEGATIF","0.25"
"14","ALL_CUST","PENAMBAHAN CUSTOMER","3","CIF","POSITIF","0.5"
"15","CUST_PAY_GOLD_HAJJ","PENAMBAHAN CUSTOMER PAYROLL, GOLD BUSINESS, HAJJ","3","CIF","POSITIF","0.5"
"16","PNS","PRODUKTIFITAS NON SALES","4","SKOR","NEGATIF","0.75"
"17","MIKRO_CONSUMER","PEMBIAYAAN MIKRO + CONSUMER","2","RP","POSITIF","0.15"
